,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
1,NY,Agudelo,Juan,F,40000.0,70000.0,2010
2,KC,Aiyegbusi,Olukorede,D,40000.0,40000.0,2010
3,COL,Akpan,Andre,F,40000.0,65000.0,2010
4,NY,Albright,Chris,D,84000.0,84000.0,2010
5,DAL,Alexander,Eric,M,40000.0,40000.0,2010
6,RSL,Alexandre,Jean,M,40000.0,40000.0,2010
7,DC,Allsopp,Danny,F,180000.0,217500.0,2010
8,SEA,Alonso,Osvaldo,M,67925.0,68737.5,2010
9,NE,Alston,Kevin,D,75000.0,124000.0,2010
10,SJ,Alvarez,Arturo,M-F,183338.0,192675.5,2010
11,COL,Amarikwa,Quincy,F,40000.0,40000.0,2010
12,NY,Angel,Juan Pablo,F,1620000.0,1918000.0,2010
13,HOU,Appiah,Samuel,M,40000.0,40000.0,2010
14,KC,Arnaud,Davy,M,220000.0,228750.0,2010
15,PHI,Arrieta,Christian,D,60000.0,64500.0,2010
16,HOU,Ashe,Corey,M,40000.0,40000.0,2010
17,TFC,Attakora-Gyan,Nana,D,40000.0,40000.0,2010
18,KC,Auvray,Stephane,M,140000.0,148125.0,2010
19,DAL,Avila,Eric,M,75000.0,108000.0,2010
20,COL,Ballouchy,Mehdi,M,88800.0,88800.0,2010
21,CHI,Banner,Michael,D,40000.0,40000.0,2010
22,DC,Barklage,Brandon,M-F,40000.0,40000.0,2010
23,NE,Barnes,Darrius,D,55000.0,56250.0,2010
24,TFC,Barrett,Chad,F,205000.0,212500.0,2010
25,CLB,Barros Schelotto,Guillermo,M-F,140000.0,241250.0,2010
26,COL,Baudet,Julien,D,168000.0,181750.0,2010
27,KC,Beasley,Jamar,M,40000.0,40000.0,2010
28,RSL,Beckerman,Kyle,M,250000.0,250000.0,2010
29,LA,Beckham,David,M,5500000.08,6500000.04,2010
30,SJ,Beitashour,Steven,D,40000.0,40000.0,2010
31,RSL,Beltran,Anthony,D,75000.0,110500.0,2010
32,DAL,Benitez,Jair,D,42000.0,63250.0,2010
33,LA,Berhalter,Gregg,D,180000.0,198750.0,2010
34,KC,Besler,Matt,D,50600.0,61850.0,2010
35,LA,Birchall,Chris,M,132000.0,145125.0,2010
36,NE,Boggs,Zak,F-M,40000.0,40000.0,2010
37,CHI,Bone,Corben,M,75000.0,136200.0,2010
38,RSL,Borchers,Nat,D,140000.0,147500.0,2010
39,CHV,Borja,Carlos,M,40000.0,40000.0,2010
40,NY,Borman,Danleigh,M,40000.0,40000.0,2010
41,CHV,Bornstein,Jonathan,D,100000.0,100000.0,2010
42,DC,Boskovic,Branko,M,380000.0,516200.0,2010
43,SEA,Boss,Terry,GK,40000.0,42500.0,2010
44,HOU,Boswell,Robert,D,190000.0,190000.0,2010
45,LA,Bowen,Tristan,F,70000.0,101363.63,2010
46,NY,Boyens,Andrew,D,57005.0,62005.0,2010
47,CHV,Braun,Justin,F,65000.0,67500.0,2010
48,CHI,Brown,C.J.,D,95760.0,100560.0,2010
49,CLB,Brunner,Eric,D,40000.0,40000.0,2010
50,LA,Buddle,Edson,F,178448.0,188448.0,2010
51,KC,Bunbury,Teal,F,65000.0,163000.0,2010
52,DC,Burch,Marc,D,79000.0,81500.0,2010
53,SJ,Burling,Bobby,D,40000.0,40000.0,2010
54,CLB,Burns,Kevin,M,40000.0,40000.0,2010
55,NE,Burpo,Preston,GK,70000.0,70000.0,2010
56,SJ,Busch,Jon,GK,84000.0,90800.0,2010
57,PHI,Califf,Daniel,D,250000.0,250000.0,2010
58,HOU,Cameron,Geoff,M,40000.0,40000.0,2010
59,RSL,Campos,Pablo,F,78750.0,83596.72,2010
60,TFC,Cann,Adrian,D,56592.0,65342.0,2010
61,SJ,Cannon,Joe,GK,190000.0,200256.25,2010
62,CHI,Carr,Calen,F,71250.0,75500.0,2010
63,PHI,Carreiro,Fred,M-F,250000.0,282000.0,2010
64,CLB,Carroll,Brian,M,140569.0,144319.0,2010
65,COL,Casey,Conor,F,350000.0,350000.0,2010
66,CHI,Castillo,Nery,M-F,1400004.0,1788060.5,2010
