,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
1,VAN,Abdallah,Aminu,M,46500.0,46500.0,2013
2,DAL,Acosta,Kellyn,M,46500.0,70500.0,2013
3,VAN,Adekugbe,Samuel,D,46500.0,51500.0,2013
4,TOR,Agbossoumonde,Gale,D,46500.0,53166.67,2013
5,NE,Agudelo,Juan,F,145000.0,175000.0,2013
6,NY,Akpan,Andre,F,67595.0,67595.0,2013
7,SJ,Alas,Jaime,M,90000.0,91250.0,2013
8,PHI,Albright,Chris,D,75000.0,75000.0,2013
9,VAN,Alderson,Bryce,M,65000.0,80000.0,2013
10,CHI,Alex,,M,110000.0,119950.0,2013
11,NY,Alexander,Eric,M,70867.5,70867.5,2013
12,POR,Alhassan,Kalif,M,80000.0,89250.0,2013
13,SEA,Alonso,Osvaldo,M,210000.0,210000.0,2013
14,NE,Alston,Kevin,D,145000.0,194000.0,2013
15,CHV,Alvarez,Carlos,M,46500.0,81500.0,2013
16,RSL,Alvarez,Yordany,M,46500.0,46500.0,2013
17,CHI,Amarikwa,Quincy,F,46500.0,46500.0,2013
18,CHI,Anangono,Juan Luis,F,120000.0,120000.0,2013
19,PHI,Anding,Don,F,35125.0,35125.0,2013
20,CHI,Anibaba,Jalil,D,91245.0,131245.0,2013
21,CLB,Anor,Bernardo,M,46500.0,46500.0,2013
22,CHV,Antunez,Daniel,M,65000.0,72500.0,2013
23,TOR,Aparicio,Manuel,M,35125.0,35125.0,2013
24,,Araujo Jr.,Paulo,F,60000.0,60000.0,2013
25,HOU,Arena,Anthony,D,35125.0,35125.0,2013
26,COL,Armstrong,David,M,46500.0,55964.29,2013
27,MTL,Arnaud,Davy,M,275000.0,290000.0,2013
28,CLB,Arrieta,Jairo,F,216000.0,225375.0,2013
29,HOU,Ashe,Corey,M,101250.0,105750.0,2013
30,CHI,Atouba,Yazid,F,46500.0,51500.0,2013
31,SJ,Attakora,Nana,D,61665.0,61665.0,2013
32,RSL,Attinella,Jeff,GK,46500.0,46500.0,2013
33,CHV,Avila,Eric,M,100000.0,120000.0,2013
34,SJ,Baca,Rafael,M,49500.0,49500.0,2013
35,DAL,Baladez,Bradlee,F,35125.0,36125.0,2013
36,RSL,Balchan,Rich,D,35125.0,35125.0,2013
37,SJ,Ballouchy,Mehdi,M,152006.0,152006.0,2013
38,NY,Barklage,Brandon,M,65000.0,71428.54,2013
39,NE,Barnes,Darrius,D,71467.0,72717.0,2013
40,HOU,Barnes,Giles,M,175000.0,184187.5,2013
41,CHI,Barouch,Orr,F,46500.0,46500.0,2013
42,NE,Barrett,Chad,F,105000.0,110709.17,2013
43,CLB,Barson,Chad,D,46500.0,46500.0,2013
44,SEA,Bates,Will,F,35125.0,35125.0,2013
45,RSL,Beckerman,Kyle,M,300000.0,328750.0,2013
46,CLB,Beckie,Drew,D,35125.0,35125.0,2013
47,SJ,Beitashour,Steven,D,49612.5,49612.5,2013
48,TOR,Bekker,Kyle,M,46500.0,72750.0,2013
49,RSL,Beltran,Anthony,D,166800.0,166800.0,2013
50,TOR,Bendik,Joe,GK,46500.0,46500.0,2013
51,NE,Bengtson,Jerry,F,132000.0,138840.0,2013
52,DAL,Benitez,Jair,D,90000.0,90000.0,2013
53,MTL,Bernardello,Hernan,M,250008.0,250008.0,2013
54,SJ,Bernardez,Victor,D,100008.0,100008.0,2013
55,MTL,Bernier,Patrice,F-M,143000.0,162333.25,2013
56,CHI,Berry,Austin,D,63425.0,78425.0,2013
57,CLB,Berti,Glauber,D,215000.0,263333.33,2013
58,KC,Besler,Matt,D,180000.0,180000.0,2013
59,KC,Bessone,Federico,D,46500.0,46500.0,2013
60,KC,Bieler,Claudio,F,200000.0,200000.0,2013
61,SJ,Bingham,David,GK,78100.0,122475.0,2013
62,TOR,Bloom,Mark,D,46500.0,46500.0,2013
63,CHV,Bocanegra,Carlos,D,228000.0,261333.33,2013
64,CHI,Bone,Corben,M,46500.0,49000.0,2013
65,HOU,Boniek Garcia,Oscar,F,130000.0,161250.0,2013
66,RSL,Borchers,Nat,D,200004.0,211972.75,2013
67,CHV,Borja,Carlos,D,46500.0,46500.0,2013
68,HOU,Boswell,Bobby,D,220000.0,220000.0,2013
69,NY,Bover,Ruben,M,35125.0,35125.0,2013
70,CHV,Bowen,Tristan,F,125000.0,156363.63,2013
71,TOR,Braun,Justin,F,112200.0,114700.0,2013
72,MTL,Brovsky,Jeb,M,80000.0,84000.0,2013
73,COL,Brown,Deshorn,F,65000.0,113000.0,2013
74,HOU,Bruin,Will,F,120000.0,165000.0,2013
75,HOU,Brunner,Eric,D,120000.0,120625.0,2013
76,COL,Buddle,Edson,F,275000.0,275000.0,2013
77,KC,Bunbury,Teal,F,110000.0,208000.0,2013
78,SEA,Burch,Marc,D,75000.0,75000.0,2013
79,CHV,Burling,Bobby,D,85000.0,88333.33,2013
80,SJ,Busch,Jon,GK,165000.0,176333.33,2013
81,MTL,Bush,Evan,GK,46500.0,46500.0,2013
82,NY,Bustamante,Michael,M-D,46500.0,46500.0,2013
83,NY,Cahill,Tim,M,3500000.0,3625000.0,2013
84,COL,Calderon,Diego,D,50000.0,50000.0,2013
85,NE,Caldwell,Scott,M,46500.0,54000.0,2013
86,TOR,Caldwell,Steven,D,79999.98,89999.98,2013
87,CHV,Calvert,Caleb,F,48000.0,55500.0,2013
88,MTL,Camara,Hassoun,D/M,115000.0,126625.0,2013
89,VAN,Cannon,Joe,GK,180500.0,189916.67,2013
90,NY,Carney,David,M,144000.0,167000.0,2013
91,HOU,Carr,Calen,F,90338.0,94588.0,2013
92,HOU,Carrasco,Servando,M,46500.0,46500.0,2013
93,PHI,Carroll,Brian,M,176400.0,176400.0,2013
94,COL,Cascio,Tony,M,64900.0,98650.0,2013
95,PHI,Casey,Conor,F,175000.0,175000.0,2013
96,SEA,Caskey,Alex,M,46500.0,46500.0,2013
97,NY,Castano,Santiago,GK,35125.0,35125.0,2013
98,DAL,Castillo,Fabian,F,60000.0,66250.0,2013
99,COL,Castrillon,Jaime,M,46500.0,46500.0,2013
100,SJ,Cato,Cordell,F,48000.0,48000.0,2013
101,COL,Ceus,Steward,GK,60000.0,70333.33,2013
102,HOU,Chabala,Michael,M,55008.0,57508.0,2013
103,POR,Chara,Diego,M,200004.0,243754.0,2013
104,SJ,Chavez,Marvin,M,175000.0,175000.0,2013
105,HOU,Ching,Brian,F,50000.0,75000.0,2013
106,NY,Christianson,Ian,M,46500.0,46500.0,2013
107,CHV,Chueca,Carlo,M,35125.0,35125.0,2013
108,LA,Clark,Colin,M,80000.0,80000.0,2013
109,HOU,Clark,Ricardo,M,274000.0,307750.0,2013
110,VAN,Clarke,Caleb,F,46500.0,46500.0,2013
111,LA,Cochrane,Greg,D,35125.0,35125.0,2013
112,KC,Collin,Aurelien,D,250000.0,256250.0,2013
113,TOR,Convey,Bobby,M,200000.0,215000.0,2013
114,DAL,Cooper,Kenny,F,325000.0,342500.0,2013
115,SJ,Corrales,Ramiro,M,60000.0,60000.0,2013
116,CHV,Correa,Jose Erick,F,60000.0,60000.0,2013
117,LA,Courtois,Laurent,M,46500.0,46500.0,2013
118,HOU,Creavalle,Warren,D,46500.0,46500.0,2013
119,MTL,Crepeau,Maxime,GK,35125.0,35125.0,2013
120,SJ,Cronin,Sam,M,175000.0,177500.0,2013
121,PHI,Cruz,Danny,M,120000.0,126500.0,2013
122,LA,Cudicini,Carlo,GK,150000.0,150000.0,2013
123,HOU,Cummings,Omar,F,225000.0,239000.0,2013
