,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
1,LA,Adzemian,Vardan,D,12900.0,12900.0,2008
2,LA,Alamo,Charles,GK,12900.0,12900.0,2008
3,NE,Albright,Chris,D,160000.0,160000.0,2008
4,HOU,Alcaraz,Johnny,M,12900.0,12900.0,2008
5,LA,Allen,Ely,F,12900.0,12900.0,2008
6,SJ,Alvarez,Arturo,M,166250.0,175587.5,2008
7,NY,Angel,Juan Pablo,F,1500000.0,1593750.0,2008
8,Pool,Angulo,Jose,F,12900.0,12900.0,2008
9,SJ,Arce,Miguel,F,12900.0,12900.0,2008
10,KC,Arnaud,Davy,M,105000.0,106875.0,2008
11,HOU,Ashe,Corey,M,33000.0,33000.0,2008
12,TFC,Attakora-Gyan,Nana,D,12900.0,12900.0,2008
13,DAL,Avila,Eric,M,45000.0,78000.0,2008
14,SJ,Ayres,Jay,D,17700.0,17700.0,2008
15,NE,Badilla,Gabriel,D,138000.0,138000.0,2008
16,COL,Ballouchy,Mehdi,M,75000.0,93000.0,2008
17,CHI,Banner,Michael,D,12900.0,12900.0,2008
18,LA,Barlow,Jeremy,D,12900.0,12900.0,2008
19,TFC,Barrett,Chad,F,53773.13,61273.13,2008
20,HOU,Barrett,Wade,D,148838.0,148838.0,2008
21,RSL,Beckerman,Kyle,M,143000.0,145500.0,2008
22,LA,Beckham,David,M,5500000.08,6500000.04,2008
23,RSL,Beltran,Anthony,D,55000.0,90500.0,2008
24,RSL,Besagno,Nikolas,D,100000.0,136500.0,2008
25,CHI,Blanco,Cuauhtemoc,M,2492316.0,2666778.0,2008
26,LA,Bolkan,Scott,M,12900.0,12900.0,2008
27,RSL,Borchers,Nat,D,120000.0,127500.0,2008
28,NY,Borman,Danleigh,M,17700.0,17700.0,2008
29,CHV,Bornstein,Jonathan,D,77500.0,77500.0,2008
30,NY,Boss,Terry,GK,33000.0,35500.0,2008
31,HOU,Boswell,Robert,D,33000.0,33000.0,2008
32,LA,Bowen,Tristan,F,45000.0,76363.63,2008
33,NY,Boyens,Andrew,D,41250.0,43750.0,2008
34,CHV,Braun,Justin,F,12900.0,12900.0,2008
35,TFC,Brennan,Jim,D,175000.0,183250.0,2008
36,NE,Brill,Sam,D,12900.0,12900.0,2008
37,CHI,Brown,C.J.,D,111711.0,111711.0,2008
38,HOU,Brown,Kyle,F,33000.0,33000.0,2008
39,LA,Buddle,Edson,F,147000.0,157000.0,2008
40,DC,Burch,Marc,D,33000.0,33000.0,2008
41,COL,Burciaga,Jose,D,80000.0,82500.0,2008
42,CHV,Burling,Bobby,D,17700.0,17700.0,2008
43,CLB,Burns,Kevin,M,12900.0,12900.0,2008
44,COL,Burpo,Preston,GK,55116.18,55116.18,2008
45,DAL,Burse,Ray,GK,33000.0,33000.0,2008
46,CHI,Busch,Jon,GK,80000.0,81250.0,2008
47,HOU,Caig,Tony,GK,52596.0,52596.0,2008
48,HOU,Cameron,Geoff,M,33000.0,33000.0,2008
49,SJ,Cannon,Joe,GK,213000.0,213000.0,2008
50,CHI,Carr,Calen,F,50600.0,63100.0,2008
51,DC,Carreiro da Silva,Fred,M,210000.0,242000.0,2008
52,CLB,Carroll,Brian,M,122500.0,126250.0,2008
53,DC,Carroll,Jeff,D,12900.0,12900.0,2008
54,DC,Carroll,Pat,D,12900.0,12900.0,2008
55,COL,Casey,Conor,F,190008.0,190008.0,2008
56,NE,Castro,Mauricio,M,90000.0,96250.0,2008
57,NY,Cepero,Daniel,GK,12900.0,12900.0,2008
58,HOU,Chabala,Michael,M,17700.0,17700.0,2008
59,CHV,Chiles,Kraig,M,12900.0,12900.0,2008
60,HOU,Ching,Brian,F,231000.0,231000.0,2008
61,NY,Cichero,Gabriel,D,156000.0,157500.0,2008
62,COL,Clark,Colin,M,33000.0,33000.0,2008
63,HOU,Clark,Ricardo,M,225500.0,225500.0,2008
64,SJ,Cochrane,Ryan,D,132000.0,133250.0,2008
65,COL,Colaluca,Nico,M,70000.0,103000.0,2008
66,CHI,Conde,Wilman,D,156000.0,163500.0,2008
67,KC,Conrad,Jimmy,D,213750.0,225000.0,2008
68,NY,Conway,Jon,GK,115000.0,115000.0,2008
69,COL,Cooke,Terry,M,167500.0,172500.0,2008
70,DAL,Cooper,Kenny,F,80000.0,83000.0,2008
71,DC,Cordeiro,Ryan,M,17700.0,17700.0,2008
72,SJ,Corrales,Ramiro,M,190000.0,202500.0,2008
73,COL,Coundoul,Bouna,GK,33000.0,33000.0,2008
74,DC,Crayton,Louis,GK,168000.0,175857.14,2008
75,NE,Cristman,Adam,F,33000.0,33000.0,2008
76,LA,Cronin,Steve,GK,75000.0,75000.0,2008
77,COL,Cummings,Omar,F,33000.0,33000.0,2008
78,SJ,Cunliffe,John,F,35500.0,50500.0,2008
79,DAL,Cunningham,Jeffrey,F,245000.0,257500.0,2008
80,CHV,Curtin,Jim,D,104004.0,104004.0,2008
81,RSL,Cutler,Kenny,M,36000.0,36000.0,2008
82,COL,Dalby,Greg,M,33000.0,33000.0,2008
83,DAL,Daniels,Andrew,D,33000.0,33000.0,2008
84,DAL,Davino,Dulio,D,400000.0,400000.0,2008
85,HOU,Davis,Brad,M,126000.0,126000.0,2008
86,DAL,Dello-Russo,Michael,D,33000.0,33000.0,2008
87,SJ,Denton,Eric,D,55200.0,55200.0,2008
88,HOU,DeRosario,Dwayne,M,324999.96,324999.96,2008
89,RSL,Deuchar,Kenny,F,135000.0,145000.0,2008
90,TFC,Dichio,Daniel,F,157500.0,165625.0,2008
91,COL,DiRaimondo,John,M,17700.0,17700.0,2008
92,DC,Doe,Francis,F,33000.0,40500.0,2008
93,LA,Dominguez,Eduardo,D,192000.0,192000.0,2008
94,LA,Donovan,Landon,F,900000.0,900000.0,2008
95,NE,Dube,Mkhokheli,F,17700.0,17700.0,2008
96,TFC,Dunivant,Todd,D,104737.5,104737.5,2008
97,DC,Dyachenko,Rod,M,33000.0,33000.0,2008
98,CHV,Ebert,Eric,D,12900.0,12900.0,2008
99,NY,Echeverry,Oscar,F,80000.0,80000.0,2008
100,TFC,Edwards,Brian,GK,36000.0,44750.0,2008
101,CLB,Ekpo,Emmanuel,M,101500.0,123750.0,2008
102,CLB,Elenio,Cory,M,12900.0,12900.0,2008
103,TFC,Elkinson,Kilian,M,12900.0,12900.0,2008
104,DC,Emilio,Luciano,F,720000.0,758857.14,2008
105,COL,Erpen,Facundo,D,125000.0,125000.0,2008
106,CHV,Eskandarian,Alecko,F,123500.0,131041.25,2008
107,RSL,Espindola,Fabian,F,75000.0,75000.0,2008
108,KC,Espinoza,Roger,M,45000.0,78750.0,2008
109,CLB,Evans,Brad,M,33000.0,33000.0,2008
110,CHV,Ferreira,Dejair,M,96000.0,185230.77,2008
111,RSL,Findley,Robert,F,47100.0,59600.0,2008
112,NE,Flood,Gary,M,17700.0,17700.0,2008
113,CHV,Flores,Jorge,F,17700.0,17700.0,2008
114,LA,Franchino,Joey,M,50000.0,50000.0,2008
115,LA,Franklin,Sean,D,36000.0,48500.0,2008
116,CHI,Frankowski,Tomasz,F,198000.0,214250.0,2008
117,TFC,Freeman,Hunter,D,61160.0,71160.0,2008
118,TFC,Gala,Gabe,D,12900.0,12900.0,2008
119,CHV,Galindo,Maykel,F,79750.0,79750.0,2008
120,DC,Gallardo,Marcelo,M,1500000.0,1874006.0,2008
121,SJ,Garcia,Nick,D,137812.0,142812.0,2008
122,CLB,Garey,Jason,F,48125.0,60625.0,2008
123,TFC,Gaudet,Derek,F,12900.0,12900.0,2008
124,CLB,Gaven,Eddie,M,165000.0,165000.0,2008
125,LA,Gavin,Michael,D,17700.0,17700.0,2008
126,NE,Germanese,Joe,M,12900.0,12900.0,2008
127,SJ,Ghebru,Michael,F,12900.0,12900.0,2008
128,COL,Gibbs,Cory,D,96000.0,103142.86,2008
129,NY,Gilkerson,John,D,12900.0,12900.0,2008
130,SJ,Glinton,Gavin,F,60000.0,60000.0,2008
131,NY,Goldthwaite,Kevin,D,68750.0,77750.0,2008
132,COL,Gomez,Christian,M,385000.0,430000.0,2008
133,KC,Gomez,Hercules,F,51817.5,51817.5,2008
134,LA,Gordon,Alan,F,72504.0,72504.0,2008
135,SJ,Grabavoy,Ned,M,90000.0,90000.0,2008
136,Pool,Graczyk,Mike,GK,17700.0,17700.0,2008
137,SJ,Gray,Kelly,M,38247.0,40579.13,2008
138,COL,Grazier,Brian,M,12900.0,12900.0,2008
139,CLB,Gruenebaum,Andy,GK,33000.0,33000.0,2008
140,DAL,Guarda,Bruno,M,45000.0,65500.0,2008
141,DC,Guerrero,Ivan,M,140000.0,147000.0,2008
142,TFC,Guevara,Amado,M,162000.0,185750.0,2008
143,SJ,Gustavson,Michael,GK,12900.0,12900.0,2008
144,CHI,Gutierrez,Diego,D,105000.0,107500.0,2008
145,CHV,Guzan,Brad,GK,88974.38,103974.38,2008
146,CHV,Hamilton,Anthony,F,17700.0,17700.0,2008
147,TFC,Harmse,Kevin,M,72000.0,72000.0,2008
148,KC,Harrington,Michael,D,49600.0,67100.0,2008
149,CHV,Harris,Atiba,F,57000.0,60000.0,2008
150,KC,Hartman,Kevin,GK,150000.0,150000.0,2008
151,COL,Harvey,Jordan,D,33000.0,33000.0,2008
152,SJ,Hatzke,Matt,M,12900.0,12900.0,2008
153,HOU,Hatzke,Nick,M,12900.0,12900.0,2008
154,HOU,Hayden,John-Michael,M,17700.0,17700.0,2008
155,NE,Heaps,Jay,D,110000.0,116000.0,2008
156,CLB,Hejduk,Frankie,D,150000.0,175000.0,2008
157,CLB,Hendrickson,Ezra,D,72000.0,72000.0,2008
158,SJ,Hernandez,Jason,D,47250.0,47875.0,2008
159,CHI,Herron,Andy,F,90000.0,102500.0,2008
160,CLB,Hesmer,William,GK,70000.0,70000.0,2008
161,KC,Hohlbein,Aaron,D,33000.0,33000.0,2008
162,HOU,Holden,Stuart,M,33075.0,33075.0,2008
163,RSL,Horst,David,D,33000.0,33000.0,2008
164,SJ,Huckerby,Darren,F,330000.0,355000.0,2008
165,COL,Hughes,Justin,GK,12900.0,12900.0,2008
166,HOU,Ianni,Patrick,D,75000.0,108000.0,2008
167,TFC,Ibrahim,Abdus,F,70000.0,103000.0,2008
168,NE,Igwe,Amaechi,D,70000.0,103000.0,2008
169,COL,Ihemelu,Ugo,D,60500.0,60500.0,2008
170,CLB,Iro,Andy,D,36000.0,53500.0,2008
171,TFC,James,Julius,D,36000.0,44750.0,2008
172,DC,Janicki,Greg,D,12900.0,12900.0,2008
173,HOU,Jaqua,Nate,F,156000.0,174125.0,2008
174,LA,Jazic,Ante,D,120000.0,125625.0,2008
175,KC,Jewsbury,Jack,D,55000.0,55000.0,2008
176,NY,Jimenez,Diego,D,12900.0,12900.0,2008
177,SJ,Johnson,Ryan,M,33000.0,33000.0,2008
178,RSL,Johnson,Will,F,39000.0,52571.43,2008
179,LA,Jordan,Bryan,F,12900.0,12900.0,2008
180,NE,Joseph,Shalrie,M,300000.0,325000.0,2008
181,CLB,Josten,George,F,12900.0,12900.0,2008
182,RSL,Joy,Ian,D,120000.0,120000.0,2008
183,CLB,Junge,Ryan,D,12900.0,12900.0,2008
184,HOU,Kamara,Kei,F,47850.0,57850.0,2008
185,NY,Kandji,Macoumba,F,36000.0,56988.37,2008
186,Pool,Kartunen,Andrew,GK,12900.0,12900.0,2008
187,CHI,Kasiguran,Kai,F,12900.0,12900.0,2008
188,COL,Keel,Stephen,D,17700.0,17700.0,2008
189,CHV,Kennedy,Dan,GK,33000.0,33000.0,2008
190,CHI,Kettering,Tyler,GK,12900.0,12900.0,2008
191,DC,Khumalo,Thabiso,F,33000.0,33000.0,2008
192,COL,Kimura,Kosuke,D,17700.0,17700.0,2008
193,CHI,King,Stephen,M,17700.0,17700.0,2008
194,RSL,Kirby,Dustin,D,17700.0,17700.0,2008
195,DC,Kirk,Quavas,M,100000.0,136500.0,2008
196,SJ,Kirovski,Jovan,F,220000.0,220000.0,2008
197,LA,Klein,Chris,D,150000.0,150000.0,2008
198,NY,Kljestan,Gordon,M,12900.0,12900.0,2008
199,CHV,Kljestan,Sacha,M,95000.0,128000.0,2008
200,NE,Knighton,Brad,GK,17700.0,17700.0,2008
201,DC,Koroma,Ibrahim,D,17700.0,17700.0,2008
202,RSL,Kovalenko,Dema,M,200000.0,207618.75,2008
203,HOU,Kpene,Guy,F,12900.0,12900.0,2008
204,KC,Kraus,Michael,M,12900.0,12900.0,2008
205,KC,Kronberg,Eric,GK,33000.0,33000.0,2008
206,COL,LaBrocca,Nick,M,12900.0,12900.0,2008
207,DAL,Lambo,Josh,GK,45000.0,78000.0,2008
208,NE,Larentowicz,Jeff,M,33000.0,33000.0,2008
209,SEA,Le Toux,Sebastian,M,84000.0,96000.0,2008
210,KC,Leathers,Jonathan,D,17700.0,17700.0,2008
211,NY,Leitch,Chris,D,60000.0,60000.0,2008
212,CLB,Lenhart,Steven,F,12900.0,12900.0,2008
213,LA,Lewis,Eddie,M,108000.0,113714.29,2008
