,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
1,NY,Abang,Anatole,F,50000.0,50000.0,2015
2,KC,Abdul-Salaam,Saad,D,60000.0,73750.0,2015
3,CHI,Accam,David,F,650000.0,720937.5,2015
4,DAL,Acosta,Kellyn,M,60000.0,84000.0,2015
5,VAN,Adekugbe,Samuel,D,60000.0,65000.0,2015
6,POR,Adi,Fanendo,F,651500.0,664000.0,2015
7,CLB,Afful,Harrison,D,150000.0,150000.0,2015
8,NE,Agudelo,Juan,F,400000.0,427500.0,2015
9,DC,Aguilar,Miguel,M,60000.0,60000.0,2015
10,DAL,Akindele,Tesho,F,70000.0,87500.0,2015
11,SJ,Alashe,Fatai,M,60000.0,76250.0,2015
12,HOU,Alex,,M,142000.0,142000.0,2015
13,MTL,Alexander,Eric,M,140000.0,153750.0,2015
14,RSL,Allen,Jordan,M/F,80000.0,90000.0,2015
15,NYCFC,Allen,RJ,D,60000.0,60000.0,2015
16,SEA,Alonso,Osvaldo,M,748000.0,789667.0,2015
17,NE,Alston,Kevin,D,140000.0,158333.33,2015
18,TOR,Altidore,Jozy,F,4750000.0,4750000.0,2015
19,COL,Alvarez,Carlos,M,70000.0,70000.0,2015
20,NYCFC,Alvarez,Pablo,M,60000.0,63045.09,2015
21,SJ,Amarikwa,Quincy,F,100000.0,100000.0,2015
22,KC,Anibaba,Jalil,D,120000.0,150000.0,2015
23,KC,Anor,Bernardo,M,135000.0,135000.0,2015
24,TOR,Aparicio,Manuel,M,60000.0,60000.0,2015
25,PHI,Aristeguieta,Fernando,F,350004.0,350004.0,2015
26,DC,Arnaud,Davy,M,212500.0,212500.0,2015
27,DC,Arrieta,Jairo,F,150000.0,165000.0,2015
28,ORL,Ashe,Corey,M,180000.0,189750.0,2015
29,POR,Asprilla,Dairon,F,60000.0,60000.0,2015
30,RSL,Attinella,Jeff,GK,60000.0,65083.33,2015
31,ORL,Avila,Eric,M,72000.0,77000.0,2015
32,PHI,Ayuk,Eric,M,50000.0,50000.0,2015
33,SEA,Azira,Michael,D,60000.0,62826.88,2015
34,COL,Badji,Dominique,F,50000.0,50000.0,2015
35,NYCFC,Ballouchy,Mehdi,M,68250.0,83250.0,2015
36,NE,Barnes,Darrius,D,95000.0,101666.67,2015
37,HOU,Barnes,Giles,M,247500.0,258375.0,2015
38,PHI,Barnetta,Tranquillo,M,624000.0,661500.0,2015
39,SJ,Barrera,Leandro,F,60000.0,60000.0,2015
40,SEA,Barrett,Chad,F,95000.0,100000.0,2015
41,DAL,Barrios,Michael,M,60000.0,60000.0,2015
42,CLB,Barson,Chad,D,60000.0,60000.0,2015
43,HOU,Beasley,DaMarcus,D,750000.0,813333.33,2015
44,RSL,Beckerman,Kyle,M,625000.0,700000.0,2015
45,ORL,Bedell,Adam,F,60000.0,60000.0,2015
46,SEA,Bedinelli,Thomas,M,108000.0,133125.0,2015
47,VAN,Beitashour,Steven,D,190000.0,197166.67,2015
48,MTL,Bekker,Kyle,M,61765.0,88015.0,2015
49,RSL,Beltran,Anthony,D,195000.0,205950.0,2015
50,TOR,Bendik,Joe,GK,150000.0,157375.0,2015
51,SJ,Bernardez,Victor,D,200000.0,241600.0,2015
52,COL,Berner,John,GK,60000.0,60000.0,2015
53,MTL,Bernier,Patrice,F-M,90000.0,135000.0,2015
54,PHI,Berry,Austin,D,93519.0,108519.0,2015
55,KC,Besler,Matt,D,650000.0,683250.0,2015
56,POR,Besler,Nick,M,65000.0,81250.0,2015
57,SJ,Bingham,David,GK,130000.0,137750.0,2015
58,PHI,Bird,Eric,M,60000.0,60000.0,2015
59,DC,Birnbaum,Steven,D,66000.0,96000.0,2015
60,MTL,Bitolo,Ambroise,D,100000.0,100000.0,2015
61,PHI,Blake,Andre,GK,85000.0,123000.0,2015
