,Year,Club,Name,Pos,Base Salary,Guaranteed Compensation
107,2008,CHV,Dejair Ferreira,M,96000.0,185230.77
108,2008,RSL,Robert Findley,F,47100.0,59600.0
109,2008,NE,Gary Flood,M,17700.0,17700.0
110,2008,CHV,Jorge Flores,F,17700.0,17700.0
111,2008,LA,Joey Franchino,M,50000.0,50000.0
112,2008,LA,Sean Franklin,D,36000.0,48500.0
113,2008,CHI,Tomasz Frankowski,F,198000.0,214250.0
114,2008,TFC,Hunter Freeman,D,61160.0,71160.0
115,2008,TFC,Gabe Gala,D,12900.0,12900.0
116,2008,CHV,Maykel Galindo,F,79750.0,79750.0
117,2008,DC,Marcelo Gallardo,M,1500000.0,1874006.0
118,2008,SJ,Nick Garcia,D,137812.0,142812.0
119,2008,CLB,Jason Garey,F,48125.0,60625.0
120,2008,TFC,Derek Gaudet,F,12900.0,12900.0
121,2008,CLB,Eddie Gaven,M,165000.0,165000.0
122,2008,LA,Michael Gavin,D,17700.0,17700.0
123,2008,NE,Joe Germanese,M,12900.0,12900.0
124,2008,SJ,Michael Ghebru,F,12900.0,12900.0
125,2008,COL,Cory Gibbs,D,96000.0,103142.86
126,2008,NY,John Gilkerson,D,12900.0,12900.0
127,2008,SJ,Gavin Glinton,F,60000.0,60000.0
128,2008,COL,Christian Gomez,M,385000.0,430000.0
129,2008,KC,Hercules Gomez,F,51817.5,51817.5
130,2008,LA,Alan Gordon,F,72504.0,72504.0
131,2008,SJ,Ned Grabavoy,M,90000.0,90000.0
132,2008,SJ,Kelly Gray,M,38247.0,40579.13
133,2008,COL,Brian Grazier,M,12900.0,12900.0
134,2008,CLB,Andy Gruenebaum,GK,33000.0,33000.0
135,2008,DAL,Bruno Guarda,M,45000.0,65500.0
136,2008,DC,Ivan Guerrero,M,140000.0,147000.0
137,2008,TFC,Amado Guevara,M,162000.0,185750.0
138,2008,SJ,Michael Gustavson,GK,12900.0,12900.0
139,2008,CHI,Diego Gutierrez,D,105000.0,107500.0
140,2008,CHV,Brad Guzan,GK,88974.38,103974.38
141,2008,CHV,Anthony Hamilton,F,17700.0,17700.0
142,2008,TFC,Kevin Harmse,M,72000.0,72000.0
143,2008,KC,Michael Harrington,D,49600.0,67100.0
144,2008,CHV,Atiba Harris,F,57000.0,60000.0
145,2008,KC,Kevin Hartman,GK,150000.0,150000.0
146,2008,COL,Jordan Harvey,D,33000.0,33000.0
147,2008,HOU,Nick Hatzke,M,12900.0,12900.0
148,2008,HOU,John-Michael Hayden,M,17700.0,17700.0
149,2008,NE,Jay Heaps,D,110000.0,116000.0
150,2008,CLB,Frankie Hejduk,D,150000.0,175000.0
151,2008,CLB,Ezra Hendrickson,D,72000.0,72000.0
152,2008,SJ,Jason Hernandez,D,47250.0,47875.0
153,2008,CHI,Andy Herron,F,90000.0,102500.0
154,2008,CLB,William Hesmer,GK,70000.0,70000.0
155,2008,KC,Aaron Hohlbein,D,33000.0,33000.0
156,2008,HOU,Stuart Holden,M,33075.0,33075.0
157,2008,RSL,David Horst,D,33000.0,33000.0
158,2008,SJ,Darren Huckerby,F,330000.0,355000.0
159,2008,COL,Justin Hughes,GK,12900.0,12900.0
160,2008,HOU,Patrick Ianni,D,75000.0,108000.0
161,2008,TFC,Abdus Ibrahim,F,70000.0,103000.0
162,2008,NE,Amaechi Igwe,D,70000.0,103000.0
163,2008,COL,Ugo Ihemelu,D,60500.0,60500.0
164,2008,TFC,Julius James,D,36000.0,44750.0
165,2008,DC,Greg Janicki,D,12900.0,12900.0
166,2008,HOU,Nate Jaqua,F,156000.0,174125.0
167,2008,LA,Ante Jazic,D,120000.0,125625.0
168,2008,KC,Jack Jewsbury,D,55000.0,55000.0
169,2008,NY,Diego Jimenez,D,12900.0,12900.0
170,2008,SJ,Ryan Johnson,M,33000.0,33000.0
171,2008,RSL,Will Johnson,F,39000.0,52571.43
