,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
388,NE,Phelan,Pat,M,60000.0,60000.0,2011
389,COL,Pickens,Matt,GK,155250.0,157750.0,2011
390,CHI,Pineda,Victor,M,42000.0,48742.42,2011
391,TFC,Plata,Joao,F,42000.0,42000.0,2011
392,DC,Pontius,Chris,M-F,125000.0,136250.0,2011
393,POR,Pore,Ryan,M,80000.0,80000.0,2011
394,CLB,Prim,Santiago,M,32600.0,32600.0,2011
395,POR,Purdy,Steve,D,42000.0,42000.0,2011
396,DC,Quaranta,Santino,M-F,115000.0,117500.0,2011
397,NY,Ream,Tim,D,55125.0,62625.0,2011
398,NE,Reis,Matt,GK,187312.0,191112.0,2011
399,CLB,Renteria,Emilio,F,120000.0,121875.0,2011
400,RSL,Reynish,Kyle,GK,50000.0,58304.0,2011
401,LA,Ribeiro Da Silva,Leonardo,D,90000.0,100000.0,2011
402,NY,Richards,Dane,M-F,145000.0,156500.0,2011
403,PHI,Richter,Ryan,F,32604.0,32604.0,2011
404,LA,Ricketts,Donovan,GK,170000.0,195000.0,2011
405,CLB,Riggs,Alex,GK,32600.04,32600.04,2011
406,SEA,Riley,James,D,92000.0,97962.5,2011
407,RSL,Rimando,Nick,GK,150000.0,158250.0,2011
408,SJ,Ring,Brad,M,42000.0,42000.0,2011
409,TFC,Robinson,Dasan,D,97500.0,100000.0,2011
410,HOU,Robinson,Eddie,D,120000.0,120000.0,2011
411,NY,Robinson,Carl,M,75000.0,75000.0,2011
412,KC,Rocastle,Craig,M,110000.0,116062.5,2011
413,VAN,Rochat,Alain,D,150000.0,150000.0,2011
414,NY,Rodgers,Luke,F,180000.0,180000.0,2011
415,CLB,Rogers,Robbie,M-F,140000.0,140000.0,2011
416,NY,Rooney,John,M,48000.0,58000.0,2011
417,SEA,Rosales,Mauro,M,42000.0,42000.0,2011
418,NY,Rost,Frank,GK,545460.0,545460.0,2011
419,CLB,Rusmir,Dejan,M,159996.0,170496.0,2011
420,RSL,Russell,Robbie,D-M,128250.0,134001.43,2011
421,KC,Saad,Soony,F,32604.0,32604.0,2011
422,RSL,Saborio,Alvaro,F,250000.0,305625.0,2011
423,VAN,Salgado,Omar,F,80000.0,121868.67,2011
424,VAN,Salinas,Shea,M,44000.0,44000.0,2011
425,DAL,Sanchez,Richard,GK,32600.0,33600.0,2011
426,DAL,Santos,Maicon,F,126000.0,126000.0,2011
427,VAN,Sanvezzo,Camilo,F,127920.0,133545.0,2011
428,SEA,Sanyang,Amadou,M,32604.0,32604.0,2011
429,KC,Sapong,Charles,F,42000.0,42000.0,2011
430,HOU,Sarkodie,Kofi,D,65000.0,110500.0,2011
431,KC,Sassano,Luke,M-D,51600.0,55025.0,2011
432,LA,Saunders,Josh,GK,63222.0,66355.75,2011
433,NE,Schilawski,Zack,F,49875.0,59875.0,2011
434,NY,Schneider,Teddy David,D,32604.0,32604.0,2011
435,RSL,Schuler,Chris,D,32600.0,32600.0,2011
436,SEA,Scott,Zach,D,44109.0,44109.0,2011
437,SJ,Sealy,Scott,F,150000.0,157000.0,2011
438,SEA,Seamon,Michael,M,42000.0,42000.0,2011
439,CHI,Segares,Gonzalo,D,160000.0,167750.0,2011
440,DAL,Seitz,Chris,GK,100000.0,100000.0,2011
441,DC,Shanosky,Conor,D,55000.0,69218.83,2011
442,POOL,Sharpe,Chris,GK,42000.0,42000.0,2011
443,DAL,Shea,Brek,M-D,100000.0,128000.0,2011
444,NE,Shuttleworth,Robert,GK,42000.0,42000.0,2011
445,DC,Simms,Clyde,M,173250.0,179250.0,2011
446,KC,Sinovic,Seth,M-D,32604.0,32604.0,2011
447,CLB,Sippola,Ben,M-D,32600.04,32600.04,2011
448,COL,Smith,Jamie,M,136992.0,146992.0,2011
449,KC,Smith,Ryan,M-F,140000.0,144375.0,2011
450,NE,Soares,AJ,D,42000.0,82000.0,2011
451,NY,Solli,Jan Gunnar,M,180000.0,180000.0,2011
452,TFC,Soolsma,Nick,M-F,86004.0,86004.0,2011
453,HOU,Soto,Josue,M,32600.04,38225.04,2011
454,NE,Sousa,Andrew,M,32604.0,32604.0,2011
455,LA,Stephens,Michael,M,57750.0,79000.0,2011
456,SJ,Stephenson,Khari,M,165000.0,178333.33,2011
457,DAL,Stewart,Jack,D,42000.0,42000.0,2011
458,TFC,Stinson,Matthew,M,32604.0,32604.0,2011
459,KC,Stojcev,Milos,M,90000.0,99000.0,2011
