,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
1,DAL,Acosta,Kellyn,M,55000.0,79000.0,2014
2,VAN,Adekugbe,Samuel,D,50000.0,55000.0,2014
3,POR,Adi,Fanendo,F,580800.0,593300.0,2014
4,COL,Agbossoumonde,Gale,D,48825.0,55491.67,2014
5,DAL,Akindele,Tesho,F,48500.0,48500.0,2014
6,NE,Akpan,Andre,F,48500.0,51333.33,2014
7,VAN,Alderson,Bryce,M,100000.0,115000.0,2014
8,CHI,Alex,,M,123750.0,133700.0,2014
9,NY,Alexander,Eric,M,115000.0,128750.0,2014
10,POR,Alhassan,Kalif,M,120000.0,120000.0,2014
11,RSL,Allen,Jordan,M/F,80000.0,90000.0,2014
12,SEA,Alonso,Osvaldo,M,400000.0,400000.0,2014
13,NE,Alston,Kevin,D,125000.0,143333.33,2014
14,COL,Alvarez,Carlos,M,73150.0,108150.0,2014
15,ORL,Alvarez,Yordany,M,48500.0,56000.0,2014
16,CHI,Amarikwa,Quincy,F,60000.0,60000.0,2014
17,CHI,Anangono,Juan Luis,F,175000.0,175000.0,2014
18,SEA,Anibaba,Jalil,D,119620.0,159620.0,2014
19,CLB,Anor,Bernardo,M,48825.0,48825.0,2014
20,SEA,Apam,Onyekachi,D,60000.0,60000.0,2014
21,TOR,Aparicio,Manuel,M,36504.0,36504.0,2014
22,HOU,Arena,Anthony,D,36504.0,36504.0,2014
23,COL,Armstrong,David,M,36504.0,36504.0,2014
24,DC,Arnaud,Davy,M,212500.0,212500.0,2014
25,CLB,Arrieta,Jairo,F,135000.0,135000.0,2014
26,HOU,Ashe,Corey,M,165000.0,174750.0,2014
27,DC,Attakora,Nana,D,62500.0,65575.52,2014
28,RSL,Attinella,Jeff,GK,48825.0,48825.0,2014
29,CHV,Avila,Eric,M,115000.0,135000.0,2014
30,SEA,Azira,Michael,D,48504.0,51147.54,2014
31,CLB,Baiden,Kingsley,M,36504.0,36504.0,2014
32,RSL,Balchan,Rich,D,48500.0,48500.0,2014
33,VAN,Ballouchy,Mehdi,M,65000.0,65000.0,2014
34,SJ,Barklage,Brandon,M,65000.0,68415.21,2014
35,NE,Barnes,Darrius,D,80000.0,86666.67,2014
36,HOU,Barnes,Giles,M,230000.0,241158.33,2014
