,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
1,NYRB,Abang,Anatole,F,62500.0,62500.0,2016
2,KC,Abdul-Salaam,Saad,D,63000.0,76750.0,2016
3,CHI,Accam,David,F-M,700000.0,770937.5,2016
4,RSL,Acosta,Danilo,M,62500.0,62500.0,2016
5,DAL,Acosta,Kellyn,M,220000.0,240000.0,2016
6,DC,Acosta,Luciano,M-F,327272.76,429272.76,2016
7,NYRB,Adams,Tyler,M,65000.0,81041.67,2016
8,VAN,Adekugbe,Samuel,D,70000.0,75000.0,2016
9,POR,Adi,Fanendo,F,640000.0,712500.0,2016
10,CLB,Afful,Harrison,D,275000.0,291666.67,2016
11,NE,Agudelo,Juan,F,425000.0,452500.0,2016
12,DC,Aguilar,Miguel,M,63000.0,63000.0,2016
13,VAN,Aird,Fraser,D-M,51500.0,58625.0,2016
14,ORL,Aja,Jose,D,192000.0,192000.0,2016
15,DAL,Akindele,Tesho,F-M,80000.0,97500.0,2016
16,SJ,Alashe,Fatai,M,74250.0,90500.0,2016
17,PHI,Alberg,Roland,M,328000.0,377250.0,2016
18,HOU,Alexander,Eric,M,165000.0,178750.0,2016
19,SEA,Alfaro,Tony,D,51500.0,51500.0,2016
20,NYRB,Allen,Brandon,F,62500.0,62500.0,2016
21,RSL,Allen,Jordan,M,100000.0,110000.0,2016
22,NYCFC,Allen,RJ,D,63000.0,63000.0,2016
23,SEA,Alonso,Osvaldo,M,900000.0,941667.0,2016
24,ORL,Alston,Kevin,D,130000.0,130000.0,2016
25,TOR,Altidore,Jozy,F,4825000.0,4825000.0,2016
26,KC,Alvarado,Ever,D,51500.04,75166.71,2016
27,CHI,Alvarez,Arturo,M,115000.0,118264.0,2016
28,DAL,Alves Dos Santos,Getterson,F,144000.0,174500.0,2016
29,SJ,Amarikwa,Quincy,F,247000.0,260666.67,2016
30,ORL,Ambrose,Mikey,D,62496.0,62496.0,2016
31,SEA,Anderson,Oalex,F,51504.0,51504.0,2016
32,POR,Andriuskevicius,Vytautas,D,184992.0,204992.0,2016
33,HOU,Anibaba,Jalil,D,62500.0,62500.0,2016
34,KC,Anor,Bernardo,M,132624.0,132624.0,2016
35,KC,Appiah,Emmanuel,M,51499.92,51499.92,2016
36,HOU,Arboleda,Yair,M,62499.96,62499.96,2016
37,DC,Arnaud,Davy,M,212500.0,212500.0,2016
38,POR,Arokoyo,Gbenga,D,90000.0,110600.0,2016
39,CHI,Arshakyan,David,F,120000.0,142850.0,2016
40,CLB,Ashe,Corey,D,95000.0,105500.0,2016
41,POR,Asprilla,Dairon,M-F,76000.0,126000.0,2016
42,RSL,Attinella,Jeff,GK,90000.0,95083.33,2016
43,PHI,Ayuk,Eric,M,62500.0,62500.0,2016
44,COL,Azira,Michael,M,63000.0,65826.88,2016
45,NYRB,Baah,Gideon,D,230000.0,315500.0,2016
46,TOR,Babouli,Mo,F,51500.0,51500.0,2016
47,COL,Badji,Dominique,F,53472.0,53472.0,2016
48,RSL,Baez Benitez,Pedro,F,62499.96,94324.96,2016
49,NYCFC,Ballouchy,Mehdi,M,71662.5,86662.5,2016
50,ORL,Baptista,Julio,M-F,90000.0,90000.0,2016
51,POR,Barmby,Jack,M-F,72000.0,73800.0,2016
52,NE,Barnes,Darrius,D,110000.0,116666.67,2016
53,VAN,Barnes,Giles,F-M,700000.0,756250.0,2016
54,PHI,Barnetta,Tranquillo,M,650000.0,709100.0,2016
55,SJ,Barrera,Leandro,F,75000.0,75000.0,2016
56,SJ,Barrett,Chad,F,90000.0,95500.0,2016
57,DAL,Barrios,Michael,M,70000.0,70000.0,2016
58,ORL,Barry,Hadji,F,62500.0,67062.5,2016
59,CLB,Barson,Chad,D,63000.0,63000.0,2016
60,HOU,Beasley,DaMarcus,D,750000.0,813333.33,2016
61,RSL,Beckerman,Kyle,M,675000.0,750000.0,2016
