,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
1,NE,Albright,Chris,D,176000.0,176000.0,2009
2,RSL,Alexandre,Jean,M,34000.0,34000.0,2009
3,DC,Allen,Ely,F-M,15300.0,15300.0,2009
4,SEA,Alonso,Osvaldo,M,65000.0,65000.0,2009
5,NE,Alston,Kevin,D,55000.0,104000.0,2009
6,SJ,Alvarez,Arturo,M-F,174750.0,184087.5,2009
7,SJ,Amarikwa,Quincy,F,34000.0,34000.0,2009
8,NY,Angel,Juan Pablo,F,1500000.0,1798000.0,2009
9,KC,Arnaud,Davy,M,220000.0,228750.0,2009
10,HOU,Ashe,Corey,M,34650.0,34650.0,2009
11,TFC,Attakora-Gyan,Nana,D,34000.0,34000.0,2009
12,DAL,Avila,Eric,M,70000.0,103000.0,2009
13,NE,Badilla,Gabriel,D,138000.0,138000.0,2009
14,COL,Ballouchy,Mehdi,M,100000.0,118000.0,2009
15,CHI,Banner,Michael,D,34000.0,34000.0,2009
16,DC,Barklage,Brandon,M-F,20100.0,20100.0,2009
17,NE,Barnes,Darrius,D,34008.0,34008.0,2009
18,HOU,Barrett,Wade,D,154000.0,156500.0,2009
19,TFC,Barrett,Chad,F,195000.0,202500.0,2009
20,COL,Baudet,Julien,D,156000.0,169750.0,2009
21,RSL,Beckerman,Kyle,M,160650.0,163150.0,2009
22,LA,Beckham,David,M,5500000.08,6500000.04,2009
23,RSL,Beltran,Anthony,D,70000.0,105500.0,2009
24,Pool,Benitez,Miguel,GK,34000.0,34000.0,2009
25,DAL,Benitez,Jair,D,36000.0,36000.0,2009
26,LA,Berhalter,Gregg,D,144000.0,162750.0,2009
27,KC,Besler,Matt,D,36000.0,47250.0,2009
28,LA,Birchall,Chris,M,84000.0,97125.0,2009
29,CHI,Blanco,Cuauhtemoc,M,2769240.0,2943702.0,2009
30,RSL,Borchers,Nat,D,130000.0,137500.0,2009
31,NY,Borman,Danleigh,D-M,20100.0,20100.0,2009
32,CHV,Bornstein,Jonathan,D,90000.0,90000.0,2009
33,SEA,Boss,Terry,GK,36000.0,38500.0,2009
34,HOU,Boswell,Robert,D,150000.0,150000.0,2009
35,LA,Bowen,Tristan,F,65000.0,96363.63,2009
36,NY,Boyens,Andrew,D,49550.0,52050.0,2009
37,CHV,Braun,Justin,F,20100.0,20100.0,2009
38,TFC,Brennan,Jim,D,185000.0,193250.0,2009
39,SEA,Brown,Evan,D,20100.0,20100.0,2009
40,CHI,Brown,C.J.,D,91200.0,96000.0,2009
41,CLB,Brunner,Eric,D,34008.0,34008.0,2009
42,LA,Buddle,Edson,F,169950.0,179950.0,2009
43,DC,Burch,Marc,D,60000.0,62500.0,2009
44,SJ,Burling,Bobby,D,34000.0,34000.0,2009
45,CLB,Burns,Kevin,M,20100.0,20100.0,2009
46,COL,Burpo,Preston,GK,57871.99,57871.99,2009
47,DAL,Burse,Ray,GK,34650.0,34650.0,2009
48,CHI,Busch,Jon,GK,135000.0,136350.0,2009
49,HOU,Cameron,Geoff,M,34650.0,34650.0,2009
50,RSL,Campos,Pablo,F,65000.0,69846.72,2009
51,SJ,Cannon,Joe,GK,180500.0,190756.25,2009
52,CHI,Carr,Calen,F,58410.0,70910.0,2009
53,DC,Carreiro,Fred,M-F,225000.0,257000.0,2009
54,CLB,Carroll,Brian,M,133875.0,137625.0,2009
55,COL,Casey,Conor,F,200000.0,200000.0,2009
56,NE,Castro,Mauricio,M,120000.0,126250.0,2009
57,NY,Celades,Albert,M,100000.0,125625.0,2009
58,NY,Cepero,Daniel,GK,34000.0,34000.0,2009
59,COL,Ceus,Steward,GK,20100.0,20100.0,2009
60,HOU,Chabala,Michael,M,34000.0,34000.0,2009
61,DAL,Chavez,Marvin,M,60000.0,70000.0,2009
62,CHV,Chijindu,Chukwudi,M,20100.0,20100.0,2009
63,HOU,Ching,Brian,F,242550.0,242550.0,2009
64,NY,Chirgadze,Giorgi,F,20100.0,20100.0,2009
65,COL,Clark,Colin,M,85000.0,90000.0,2009
66,HOU,Clark,Ricardo,M,248050.0,248050.0,2009
67,HOU,Cochrane,Ryan,D,145000.0,146250.0,2009
68,NE,Colaluca,Nico,M,75000.0,108000.0,2009
69,CHI,Conde,Wilman,D,168000.0,188000.0,2009
70,KC,Conrad,Jimmy,D,213750.0,225000.0,2009
71,SJ,Convey,Bobby,M,222000.0,244500.0,2009
72,CHV,Conway,Jon,GK,36000.0,42125.0,2009
73,SJ,Corrales,Ramiro,M,190000.0,202500.0,2009
74,NY,Coundoul,Bouna,GK,123999.96,125249.96,2009
75,RSL,Cox,Raphael,D,20100.0,20100.0,2009
76,KC,Cristman,Adam,F,34650.0,34650.0,2009
77,TFC,Cronin,Sam,M,36000.0,84000.0,2009
78,HOU,Cruz,Danny,M,55000.0,98000.0,2009
79,CHV,Cuesta,Yamith,D,36000.0,36000.0,2009
80,COL,Cummings,Omar,F,65000.0,73750.0,2009
81,DAL,Cunningham,Jeffrey,F,209170.0,219295.0,2009
82,CHV,Curtin,Jim,D,109204.2,109204.2,2009
83,COL,Dalby,Greg,M,34650.0,34650.0,2009
84,DAL,Davies,Kyle,D,50004.0,50004.0,2009
85,HOU,Davis,Brad,M,132300.0,132300.0,2009
86,TFC,de Guzman,Julian,M,909600.0,956350.0,2009
87,LA,DeLaGarza,AJ,D,36000.0,36000.0,2009
88,HOU,Deric,Tyler,GK,20100.0,20100.0,2009
89,TFC,DeRosario,Dwayne,M,357000.0,425750.0,2009
90,TFC,Dichio,Daniel,F,120000.0,120000.0,2009
91,CHI,Dimitrov,Stefan,F,34008.0,34008.0,2009
92,DC,DiRaimondo,John,M,20100.0,20100.0,2009
93,COL,Diz,Facundo,F,42000.0,42000.0,2009
94,LA,Donovan,Landon,F,900000.0,900000.0,2009
95,Pool,Dragavon,Ben,GK,34000.0,34000.0,2009
96,NE,Dube,Mkhokheli,F,34650.0,34650.0,2009
97,LA,Dunivant,Todd,D,109974.38,109974.38,2009
98,CHI,Dykstra,Andrew,GK,34000.0,34000.0,2009
99,TFC,Edwards,Brian,GK,39600.0,48350.0,2009
100,CLB,Ekpo,Emmanuel,M,125000.0,147250.0,2009
101,RSL,El Khalifi,Rachid,M-F,84996.0,102996.0,2009
102,CLB,Elenio,Cory,M,20100.0,20100.0,2009
103,SJ,Elliot,Simon,M,80640.0,87315.0,2009
104,DC,Emilio,Luciano,F,720000.0,758857.14,2009
105,LA,Eskandarian,Alecko,F,135850.0,143391.25,2009
106,RSL,Espindola,Fabian,F,42000.0,42000.0,2009
107,KC,Espinoza,Roger,M,70000.0,103750.0,2009
108,SEA,Evans,Brad,M,44550.0,44550.0,2009
109,SEA,Eylander,Chris,GK,45500.0,45500.0,2009
110,TFC,Fellinga,Lesly,D,36000.0,36000.0,2009
111,DAL,Ferreira,David,M-F,300000.0,300000.0,2009
112,RSL,Findley,Robert,F,60060.0,72560.0,2009
113,CHV,Flores,Jorge,F,34000.0,34000.0,2009
114,LA,Franklin,Sean,D,64350.0,76850.0,2009
