,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
1,PHI,Adu,Freddy,M,400000.0,519000.0,2012
2,CHV,Agudelo,Juan,F,70000.0,100000.0,2012
3,KC,Aiyegbusi,Olukorede,D,44100.0,44100.0,2012
4,COL,Akpan,Andre,F,57200.0,57200.0,2012
5,PHI,Albright,Chris,D,55000.0,55000.0,2012
6,VAN,Alderson,Bryce,M,60000.0,75000.0,2012
7,CHI,Alex,,M,96000.0,105950.0,2012
8,POR,Alexander,Eric,M,56925.0,56925.0,2012
9,SJ,Alexandre,Jean,M,44100.0,44100.0,2012
10,POR,Alhassan,Kalif,M,70000.0,79250.0,2012
11,SEA,Alonso,Osvaldo,M,185000.0,185000.0,2012
12,NE,Alston,Kevin,D,120000.0,169000.0,2012
13,RSL,Alvarez,Yordany,M,44100.0,44100.0,2012
14,TOR,Amarikwa,Quincy,F,44100.0,44100.0,2012
15,SJ,Ampaipitakwong,Anthony,M,44000.0,44000.0,2012
16,CHV,Angel,Juan Pablo,F,350000.0,600000.0,2012
17,POOL,Angevine,Scott,GK,33756.0,33756.0,2012
18,NY,Angulo,Jose,F,33750.0,33750.0,2012
19,CHI,Anibaba,Jalil,D,65450.0,105450.0,2012
20,CLB,Anor,Bernardo,M,44100.0,44100.0,2012
21,RSL,Araujo Jr.,Paulo,F,65000.0,65000.0,2012
22,MTL,Arguez,Bryan,D/M,65000.0,65000.0,2012
23,COL,Armstrong,David,M,44100.0,53564.29,2012
24,MTL,Arnaud,Davy,M,275000.0,290000.0,2012
25,CLB,Arrieta,Jairo,F,216000.0,225375.0,2012
26,NY,Arteaga,Jhonny,F,44000.0,44000.0,2012
27,HOU,Ashe,Corey,M,90000.0,94500.0,2012
28,DC,Augusto,Raphael,M,44004.0,44004.0,2012
29,TOR,Avila,Eric,M,125000.0,158000.0,2012
30,SJ,Baca,Rafael,M,44000.0,44000.0,2012
31,CLB,Balchan,Rich,D,51700.0,68575.0,2012
32,SJ,Ballouchy,Mehdi,M,138188.0,138188.0,2012
33,VAN,Barbara,Etienne,F,87500.0,87500.0,2012
34,NY,Barklage,Brandon,M,44000.0,45566.67,2012
35,NE,Barnes,Darrius,D,68063.0,69313.0,2012
36,HOU,Barnes,Giles,M,120000.0,132750.0,2012
37,CHI,Barouch,Orr,F,44000.0,44000.0,2012
38,LA,Barrett,Chad,F,220000.0,253333.33,2012
39,RSL,Beckerman,Kyle,M,300000.0,311250.0,2012
40,LA,Beckham,David,M,3000000.0,3999999.96,2012
41,SJ,Beitashour,Steven,D,44100.0,44100.0,2012
42,RSL,Beltran,Anthony,D,125000.0,160500.0,2012
43,POR,Bendik,Joe,GK,44000.0,44000.0,2012
44,NE,Bengston,Jerry,F,120000.0,126840.0,2012
45,DAL,Benitez,Jair,D,80000.0,80000.0,2012
46,SJ,Bernardez,Victor,D,100000.0,100000.0,2012
47,MTL,Bernier,Patrice,F-M,130000.0,149333.25,2012
48,CHI,Berry,Austin,D,44000.0,59000.0,2012
49,KC,Besler,Matt,D,91751.0,103001.0,2012
50,SJ,Bingham,David,GK,71000.0,115375.0,2012
51,CLB,Birchall,Chris,M,102000.0,109000.0,2012
52,CHV,Bolanos,Miller,M,48000.0,48000.0,2012
53,CHI,Bone,Corben,M,100000.0,161200.0,2012
54,RSL,Bonfigli,Emiliano,F,44000.0,44000.0,2012
55,VAN,Bonjour,Fernando,D,192000.0,276987.5,2012
56,RSL,Borchers,Nat,D,200004.0,211972.75,2012
57,NY,Borrajo,Jonathan,M-D,44000.0,44000.0,2012
58,DC,Boskovic,Branko,M,195240.0,242340.0,2012
59,HOU,Boswell,Bobby,D,200000.0,200000.0,2012
60,CHV,Bowen,Tristan,F,100000.0,131363.63,2012
61,POR,Boyd,Kris,F,1250000.0,1515000.0,2012
62,LA,Boyens,Andrew,D,62500.0,65783.33,2012
63,POR,Braun,Frederick,M,44000.0,44000.0,2012
64,RSL,Braun,Justin,F,102000.0,104500.0,2012
65,NE,Brettschneider,Blake,F,33756.0,33756.0,2012
66,MTL,Brovsky,Jeb,M,33750.0,33750.0,2012
67,HOU,Bruin,Will,F,90000.0,135000.0,2012
68,POR,Brunner,Eric,D,100000.0,100625.0,2012
69,LA,Buddle,Edson,F,225000.0,225000.0,2012
70,KC,Bunbury,Teal,F,100000.0,198000.0,2012
71,SEA,Burch,Marc,D,65000.0,65000.0,2012
72,CHV,Burling,Bobby,D,48000.0,51333.33,2012
73,SJ,Busch,Jon,GK,155004.0,166337.33,2012
74,MTL,Bush,Evan,GK,44000.0,44000.0,2012
75,NY,Cahill,Tim,M,3499999.92,3624999.92,2012
76,CHV,Califf,Danny,D,275000.0,275000.0,2012
77,MTL,Camara,Hassoun,D/M,75000.0,75000.0,2012
78,HOU,Camargo,Luiz,M,192000.0,202000.0,2012
79,TOR,Cann,Adrian,D,126000.0,134750.0,2012
80,VAN,Cannon,Joe,GK,166250.0,175666.67,2012
81,NE,Cardenas,Fernando,M/F,99996.0,99996.0,2012
82,CHV,Cardozo,Paolo,M,70000.0,81250.0,2012
83,HOU,Carr,Calen,F,78554.0,82804.0,2012
84,SEA,Carrasco,Servando,M,44100.0,44100.0,2012
85,PHI,Carroll,Brian,M,168000.0,168000.0,2012
86,COL,Cascio,Tony,M,44000.0,77750.0,2012
87,COL,Casey,Conor,F,400000.0,400000.0,2012
88,SEA,Caskey,Alex,M,33756.0,33756.0,2012
89,DAL,Castillo,Fabian,F,50000.0,56250.0,2012
90,COL,Castrillon,Jaime,M,50000.0,68375.0,2012
91,SEA,Cato,Cordell,F,44000.0,44000.0,2012
92,KC,Cesar,Julio,D,252000.0,255750.0,2012
93,COL,Ceus,Steward,GK,44100.0,44100.0,2012
94,DC,Chabala,Michael,M,75000.0,83333.33,2012
95,POR,Chara,Diego,M,150000.0,193750.0,2012
96,SJ,Chavez,Marvin,M,150000.0,150000.0,2012
97,HOU,Ching,Brian,F,192000.0,236000.0,2012
98,HOU,Clark,Colin,M,105427.0,110427.0,2012
99,HOU,Clark,Ricardo,M,260000.04,293750.04,2012
100,VAN,Clarke,Caleb,F,44000.04,44000.04,2012
101,KC,Collin,Aurelien,D,210000.0,216250.0,2012
102,NY,Conde,Wilman,D,125000.0,141666.67,2012
103,KC,Convey,Bobby,M,200000.0,215000.0,2012
104,NY,Cooper,Kenny,F,275000.0,292500.0,2012
105,TOR,Cordon,Oscar,M,44000.0,44000.0,2012
106,SJ,Corrales,Ramiro,M,173250.0,183875.0,2012
107,CHV,Correa,Jose Erik,F,48000.0,48000.0,2012
108,CHV,Courtois,Laurent,M,120000.0,120000.0,2012
109,HOU,Creavalle,Warren,D,44000.0,44000.0,2012
